"city","state","abbr"
"Herndon","Virginia","VA"
"Lawrence","Kansas","KS"
"Wildwood","New Jersey","NJ"
"North Wildwood","New Jersey","NJ"
"Erlanger","Kentucky","KY"
"Washburn University","Kansas","KS"
"Bonner Springs","Kansas","KS"
"Edwardsville","Kansas","KS"
"Grand Junction","Colorado","CO"
"Loudoun","Virginia","VA"
"Covington","Kentucky","KY"
"Lake","California","CA"
"Monument","Colorado","CO"
"Avalon","New Jersey","NJ"
"Montgomery County Pd","Maryland","MD"
"Middle Township","New Jersey","NJ"
"Purcellville","Virginia","VA"
"Delaware","Indiana","IN"
"Bloomington","Indiana","IN"
"Indiana Univ:Bloomington","Indiana","IN"
"Aspen","Colorado","CO"
"Montgomery","Ohio","OH"
"Douglas","Colorado","CO"
"Ocean City","New Jersey","NJ"
"Howard","Maryland","MD"
"Leavenworth","Kansas","KS"
"Utah","Utah","UT"
"Margate City","New Jersey","NJ"
"Athens","Ohio","OH"
"West Chester Township","Ohio","OH"
"Harrison","West Virginia","WV"
"Mason","Ohio","OH"
"Atlantic City","New Jersey","NJ"
"Sp: Atlantic County","New Jersey","NJ"
"Clay Center","Kansas","KS"
"Jefferson","Colorado","CO"
"Egg Harbor Township","New Jersey","NJ"
"Fairfield Township","New Jersey","NJ"
"Towson University","Maryland","MD"
"Baltimore County Pol Dep","Maryland","MD"
"Frederick","Maryland","MD"
"Sp: Frederick County","Maryland","MD"
"Fort Bragg","California","CA"
"Vineland","New Jersey","NJ"
"Galloway Township","New Jersey","NJ"
"Sp: Cumberland County","New Jersey","NJ"
"Madison Township","Ohio","OH"
"Washington Court House","Ohio","OH"
"Lone Tree","Colorado","CO"
"Carroll","Maryland","MD"
"Glenwood Springs","Colorado","CO"
"Sp: Carroll County","Maryland","MD"
"Summit","Colorado","CO"
"Little Egg Harbor Townsh","New Jersey","NJ"
"Miami Township","Ohio","OH"
"Long Beach Township","New Jersey","NJ"
"Greenwood Village","Colorado","CO"
"Butte","California","CA"
"Centerville","Ohio","OH"
"Morgantown","West Virginia","WV"
"West Virginia University","West Virginia","WV"
"Hammonton","New Jersey","NJ"
"Miamisburg","Ohio","OH"
"Woodstown","New Jersey","NJ"
"Winslow Township","New Jersey","NJ"
"Garfield","Colorado","CO"
"Elk Township","New Jersey","NJ"
"University Of Delaware","Delaware","DE"
"Kettering","Ohio","OH"
"Glassboro","New Jersey","NJ"
"Stafford Township","New Jersey","NJ"
"Carney'S Point Township","New Jersey","NJ"
"Chico","California","CA"
"Pitman","New Jersey","NJ"
"Sp: New Castle County","Delaware","DE"
"Auraria Higher Educ Cntr","Colorado","CO"
"Golden","Colorado","CO"
"Washington Township","New Jersey","NJ"
"Barnegat Township","New Jersey","NJ"
"St. Joseph","Missouri","MO"
"Purdue University","Indiana","IN"
"Gloucester Township","New Jersey","NJ"
"Trotwood","Ohio","OH"
"Commerce City","Colorado","CO"
"Fairborn","Ohio","OH"
"West Deptford Township","New Jersey","NJ"
"Woodbury","New Jersey","NJ"
"Gibbsboro","New Jersey","NJ"
"Voorhees Township","New Jersey","NJ"
"Evesham Township","New Jersey","NJ"
"Medford Lakes","New Jersey","NJ"
"Medford Township","New Jersey","NJ"
"Lacey Township","New Jersey","NJ"
"Grove City","Ohio","OH"
"London","Ohio","OH"
"Haddonfield","New Jersey","NJ"
"Berkeley Township","New Jersey","NJ"
"Broomfield","Colorado","CO"
"Camden","New Jersey","NJ"
"Cherry Hill Township","New Jersey","NJ"
"Mount Laurel Township","New Jersey","NJ"
"Beachwood","New Jersey","NJ"
"Reynoldsburg","Ohio","OH"
"Capital University","Ohio","OH"
"Fishers","Indiana","IN"
"Moorestown Township","New Jersey","NJ"
"Manchester Township","New Jersey","NJ"
"Lafayette","Colorado","CO"
"Upper Arlington","Ohio","OH"
"Eastampton Township","New Jersey","NJ"
"Palmyra","New Jersey","NJ"
"Oh State Univ: Columbus","Ohio","OH"
"Westampton Township","New Jersey","NJ"
"Riverside Township","New Jersey","NJ"
"Hilliard","Ohio","OH"
"Brick Township","New Jersey","NJ"
"Wheeling","West Virginia","WV"
"Mansfield Township","New Jersey","NJ"
"North Hanover Township","New Jersey","NJ"
"New Albany","Ohio","OH"
"Lakewood Township","New Jersey","NJ"
"Point Pleasant","New Jersey","NJ"
"Jackson Township","New Jersey","NJ"
"Worthington","Ohio","OH"
"Florence Township","New Jersey","NJ"
"Univ Of Il: Urbana","Illinois","IL"
"Brielle","New Jersey","NJ"
"Urbana","Illinois","IL"
"Manasquan","New Jersey","NJ"
"Abington Township","Pennsylvania","PA"
"Canton","Missouri","MO"
"Sea Girt","New Jersey","NJ"
"Bordentown Township","New Jersey","NJ"
"Spring Lake","New Jersey","NJ"
"Powell","Ohio","OH"
"Howell Township","New Jersey","NJ"
"Belmar","New Jersey","NJ"
"Genoa Township","Ohio","OH"
"Muncie","Indiana","IN"
"Kirksville","Missouri","MO"
"Neptune Township","New Jersey","NJ"
"Hamilton Township","New Jersey","NJ"
"Freehold","New Jersey","NJ"
"Freehold Township","New Jersey","NJ"
"Robbinsville Township","New Jersey","NJ"
"Sp: Skippack","Pennsylvania","PA"
"Ocean","New Jersey","NJ"
"Monmouth","New Jersey","NJ"
"Ewing Township","New Jersey","NJ"
"Univ Of Pitt: Johnstown","Pennsylvania","PA"
"East Windsor Township","New Jersey","NJ"
"Hightstown","New Jersey","NJ"
"Harrisburg","Pennsylvania","PA"
"Lawrence Township","New Jersey","NJ"
"Sp: Monmouth County","New Jersey","NJ"
"Manalapan Township","New Jersey","NJ"
"Colts Neck Township","New Jersey","NJ"
"West Long Branch","New Jersey","NJ"
"Eatontown","New Jersey","NJ"
"West Windsor Township","New Jersey","NJ"
"Cranbury Township","New Jersey","NJ"
"Tinton Falls","New Jersey","NJ"
"Long Branch","New Jersey","NJ"
"Reading","Pennsylvania","PA"
"Monroe Township","New Jersey","NJ"
"Little Silver","New Jersey","NJ"
"Marlboro Township","New Jersey","NJ"
"Hopewell Township","New Jersey","NJ"
"Holmdel Township","New Jersey","NJ"
"Jamesburg","New Jersey","NJ"
"Princeton","New Jersey","NJ"
"Lambertville","New Jersey","NJ"
"Rumson","New Jersey","NJ"
"South Brunswick Township","New Jersey","NJ"
"Spotswood","New Jersey","NJ"
"Weld","Colorado","CO"
"Middletown Township","New Jersey","NJ"
"Loveland","Colorado","CO"
"Old Bridge Township","New Jersey","NJ"
"Matawan","New Jersey","NJ"
"Aberdeen Township","New Jersey","NJ"
"East Brunswick Township","New Jersey","NJ"
"Montgomery Township","New Jersey","NJ"
"Keansburg","New Jersey","NJ"
"North Brunswick Township","New Jersey","NJ"
"New Brunswick","New Jersey","NJ"
"Highland Park","New Jersey","NJ"
"Hillsborough Township","New Jersey","NJ"
"Normal","Illinois","IL"
"Edison Township","New Jersey","NJ"
"Draper","Utah","UT"
"Tooele","Utah","UT"
"Metuchen","New Jersey","NJ"
"Piscataway Township","New Jersey","NJ"
"Woodbridge Township","New Jersey","NJ"
"Washoe","Nevada","NV"
"Hunterdon","New Jersey","NJ"
"Mifflin","Pennsylvania","PA"
"Middlesex","New Jersey","NJ"
"Somerville","New Jersey","NJ"
"Carteret","New Jersey","NJ"
"South Plainfield","New Jersey","NJ"
"Redding","California","CA"
"Butler","Ohio","OH"
"Sp: Lehigh County","Pennsylvania","PA"
"Green Brook Township","New Jersey","NJ"
"Midvale","Utah","UT"
"Linden","New Jersey","NJ"
"North Plainfield","New Jersey","NJ"
"Clinton Township","New Jersey","NJ"
"Pohatcong Township","New Jersey","NJ"
"Utah Highway Patrol","Utah","UT"
"Warren Township","New Jersey","NJ"
"Sp: Hunterdon County","New Jersey","NJ"
"Watchung","New Jersey","NJ"
"Scotch Plains Township","New Jersey","NJ"
"Garwood","New Jersey","NJ"
"Nassau","New York","NY"
"Freeport Village","New York","NY"
"Cranford Township","New Jersey","NJ"
"High Bridge","New Jersey","NJ"
"Bayonne","New Jersey","NJ"
"Long Hill Township","New Jersey","NJ"
"Nyc Metro Trnsprtn Auth","New York","NY"
"Hillside Township","New Jersey","NJ"
"Union","New Jersey","NJ"
"Union Township","New Jersey","NJ"
"New Providence","New Jersey","NJ"
"Salt Lake Cnty Unifd Pd","Utah","UT"
"Logan","Colorado","CO"
"Lopatcong Township","New Jersey","NJ"
"Chatham Township","New Jersey","NJ"
"Garden City Village","New York","NY"
"Maplewood Township","New Jersey","NJ"
"Millburn Township","New Jersey","NJ"
"St Prk: Long Island Reg","New York","NY"
"Harding Township","New Jersey","NJ"
"Hoboken","New Jersey","NJ"
"Ferguson Township","Pennsylvania","PA"
"Humboldt","California","CA"
"Utah Transit Authority","Utah","UT"
"University Of Utah","Utah","UT"
"Weehawken Township","New Jersey","NJ"
"Kearny","New Jersey","NJ"
"Union City","New Jersey","NJ"
"Livingston Township","New Jersey","NJ"
"Mendham Township","New Jersey","NJ"
"Florham Park","New Jersey","NJ"
"Secaucus","New Jersey","NJ"
"Morris Township","New Jersey","NJ"
"Belleville","New Jersey","NJ"
"Massillon","Ohio","OH"
"West Orange","New Jersey","NJ"
"Eureka","California","CA"
"North Bergen Township","New Jersey","NJ"
"Glen Ridge","New Jersey","NJ"
"Pa St Univ: Univ Park","Pennsylvania","PA"
"East Hanover Township","New Jersey","NJ"
"Suffolk County Pd","New York","NY"
"Nutley Township","New Jersey","NJ"
"Port Washington","New York","NY"
"Hanover Township","New Jersey","NJ"
"Montclair","New Jersey","NJ"
"Verona","New Jersey","NJ"
"Morris","New Jersey","NJ"
"Ridgefield","New Jersey","NJ"
"Randolph Township","New Jersey","NJ"
"North Salt Lake","Utah","UT"
"Fort Lee","New Jersey","NJ"
"Mount Olive Township","New Jersey","NJ"
"Wallington","New Jersey","NJ"
"Passaic","New Jersey","NJ"
"North Caldwell","New Jersey","NJ"
"Stark","Ohio","OH"
"Ashland","Ohio","OH"
"Little Falls Township","New Jersey","NJ"
"Roxbury Township","New Jersey","NJ"
"Van Wert","Ohio","OH"
"Parsippany-Troy Hills Tw","New Jersey","NJ"
"Humboldt State Universit","California","CA"
"North Canton","Ohio","OH"
"Centre","Pennsylvania","PA"
"Roseto","Pennsylvania","PA"
"Lodi","New Jersey","NJ"
"Hackensack","New Jersey","NJ"
"Columbiana","Ohio","OH"
"Denville Township","New Jersey","NJ"
"Englewood","New Jersey","NJ"
"Teaneck Township","New Jersey","NJ"
"Nissequogue Village","New York","NY"
"Maywood","New Jersey","NJ"
"Saddle Brook Township","New Jersey","NJ"
"Boonton","New Jersey","NJ"
"New Rochelle","New York","NY"
"Suny: Stony Brook","New York","NY"
"Montville Township","New Jersey","NJ"
"Wayne Township","New Jersey","NJ"
"Bergen","New Jersey","NJ"
"Bergenfield","New Jersey","NJ"
"River Edge","New Jersey","NJ"
"Boonton Township","New Jersey","NJ"
"New Milford","New Jersey","NJ"
"Fair Lawn","New Jersey","NJ"
"Paramus","New Jersey","NJ"
"North Haledon","New Jersey","NJ"
"Oradell","New Jersey","NJ"
"Byram Township","New Jersey","NJ"
"Glen Rock","New Jersey","NJ"
"Ridgewood","New Jersey","NJ"
"Midland Park","New Jersey","NJ"
"Riverdale","New Jersey","NJ"
"Hastings-On-Hudson Villa","New York","NY"
"Ho-Ho-Kus","New Jersey","NJ"
"Norwood","New Jersey","NJ"
"Scarsdale Village","New York","NY"
"Pompton Lakes","New Jersey","NJ"
"Dobbs Ferry Village","New York","NY"
"River Vale Township","New Jersey","NJ"
"Franklin Lakes","New Jersey","NJ"
"Boardman","Ohio","OH"
"Saddle River","New Jersey","NJ"
"Greenburgh Town","New York","NY"
"White Plains","New York","NY"
"Allendale","New Jersey","NJ"
"Findlay","Ohio","OH"
"Suny College: Purchase","New York","NY"
"Orangetown Town","New York","NY"
"Ramsey","New Jersey","NJ"
"Upper Saddle River","New Jersey","NJ"
"Layton","Utah","UT"
"Darien","Connecticut","CT"
"South Nyack Village","New York","NY"
"Youngstown","Ohio","OH"
"Metropltn Trnsprtn Auth","Connecticut","CT"
"Austintown","Ohio","OH"
"Spring Valley Village","New York","NY"
"Ringwood","New Jersey","NJ"
"Hardyston Township","New Jersey","NJ"
"Norwalk","Connecticut","CT"
"Clarkstown Town","New York","NY"
"West Milford Township","New Jersey","NJ"
"North Castle Town","New York","NY"
"Fairfield","Connecticut","CT"
"Ramapo Town","New York","NY"
"Westport","Connecticut","CT"
"Medina","Ohio","OH"
"New Canaan","Connecticut","CT"
"Fostoria","Ohio","OH"
"Medina Township","Ohio","OH"
"Niles","Ohio","OH"
"Stratford","Connecticut","CT"
"Wilton","Connecticut","CT"
"Haverstraw Town","New York","NY"
"Weston","Connecticut","CT"
"Croton-On-Hudson Village","New York","NY"
"Milford","Connecticut","CT"
"Omaha",NA,"#N/A"
"Weber","Utah","UT"
"Yorktown Town","New York","NY"
"West Haven","Connecticut","CT"
"Clinton","Connecticut","CT"
"Guilford","Connecticut","CT"
"Shelton","Connecticut","CT"
"Derby","Connecticut","CT"
"North Branford","Connecticut","CT"
"Monroe Village","New York","NY"
"So Conn State University","Connecticut","CT"
"Pike","Pennsylvania","PA"
"Groton","Connecticut","CT"
"Groton Town","Connecticut","CT"
"Waterford","Connecticut","CT"
"New London","Connecticut","CT"
"La Salle","Illinois","IL"
"Bowling Green State Univ","Ohio","OH"
"Danbury","Connecticut","CT"
"Seymour","Connecticut","CT"
"Western Connecticut St U","Connecticut","CT"
"Sp: Orange County","New York","NY"
"Scranton","Pennsylvania","PA"
"Newtown","Connecticut","CT"
"Deerpark Town","New York","NY"
"Naugatuck","Connecticut","CT"
"University Of Rhode Isla","Rhode Island","RI"
"Newport","Rhode Island","RI"
"Lyndhurst","Ohio","OH"
"Norwich","Connecticut","CT"
"Fishkill Town","New York","NY"
"Sp: Wayne County","Pennsylvania","PA"
"Highland Heights","Ohio","OH"
"Falmouth","Massachusetts","MA"
"Highland","Indiana","IN"
"Crawford Town","New York","NY"
"Bettendorf","Iowa","IA"
"Middletown","Connecticut","CT"
"Maumee","Ohio","OH"
"Tinley Park","Illinois","IL"
"Cromwell","Connecticut","CT"
"Na","Connecticut","CT"
"Northwood","Ohio","OH"
"Berlin","Connecticut","CT"
"Plainfield","Illinois","IL"
"Poughkeepsie Town","New York","NY"
"University Of Iowa","Iowa","IA"
"New Britain","Connecticut","CT"
"Johnson","Iowa","IA"
"Glastonbury","Connecticut","CT"
"Newington","Connecticut","CT"
"Barnstable","Massachusetts","MA"
"Poughkeepsie","New York","NY"
"West Warwick","Rhode Island","RI"
"Oak Lawn","Illinois","IL"
"Eastern Connecticut St U","Connecticut","CT"
"Fallsburg Town","New York","NY"
"Dennis","Massachusetts","MA"
"Cook","Illinois","IL"
"Suny College: New Paltz","New York","NY"
"Sp: Dutchess County","New York","NY"
"West Hartford","Connecticut","CT"
"Madison","Ohio","OH"
"Manchester","Connecticut","CT"
"Dutchess","New York","NY"
"Coventry","Connecticut","CT"
"Torrington","Connecticut","CT"
"La Grange","Illinois","IL"
"Univ Of Ct: Storrs, Ap&H","Connecticut","CT"
"Connecticut State Police","Connecticut","CT"
"Du Page","Illinois","IL"
"Dupage","Illinois","IL"
"Bloomfield","Connecticut","CT"
"Brown University","Rhode Island","RI"
"Simsbury","Connecticut","CT"
"Pawtucket","Rhode Island","RI"
"Lombard","Illinois","IL"
"Middleboro","Massachusetts","MA"
"Monroe","Michigan","MI"
"Windsor Locks","Connecticut","CT"
"Rhinebeck Village","New York","NY"
"Winchester","Connecticut","CT"
"Raynham","Massachusetts","MA"
"Plymouth","Massachusetts","MA"
"Enfield","Connecticut","CT"
"Woonsocket","Rhode Island","RI"
"Skokie","Illinois","IL"
"Mansfield","Massachusetts","MA"
"Evanston","Illinois","IL"
"East Longmeadow","Massachusetts","MA"
"Pembroke","Massachusetts","MA"
"Massasoit Community Coll","Massachusetts","MA"
"Brockton","Massachusetts","MA"
"Vestal Town","New York","NY"
"Arlington Heights","Illinois","IL"
"Suny: Binghamton","New York","NY"
"Monson","Massachusetts","MA"
